bp	annual_hunting_mortality
4225	0.050000
4224	0.050000
4223	0.050000
4222	0.050000
4221	0.050000
4220	0.050000
4219	0.050000
4218	0.050000
4217	0.050000
4216	0.050000
4215	0.050000
4214	0.050000
4213	0.050000
4212	0.050000
4211	0.050000
4210	0.050000
4209	0.050000
4208	0.050000
4207	0.050000
4206	0.050000
4205	0.050000
4204	0.050000
4203	0.050000
4202	0.050000
4201	0.050000
4200	0.050000
4199	0.050000
4198	0.050000
4197	0.050000
4196	0.050000
4195	0.050000
4194	0.050000
4193	0.050000
4192	0.050000
4191	0.050000
4190	0.050000
4189	0.050000
4188	0.050000
4187	0.050000
4186	0.050000
4185	0.050000
4184	0.050000
4183	0.050000
4182	0.050000
4181	0.050000
4180	0.050000
4179	0.050000
4178	0.050000
4177	0.050000
4176	0.050000
4175	0.050000
4174	0.050000
4173	0.050000
4172	0.050000
4171	0.050000
4170	0.050000
4169	0.050000
4168	0.050000
4167	0.050000
4166	0.050000
4165	0.050000
4164	0.050000
4163	0.050000
4162	0.050000
4161	0.050000
4160	0.050000
4159	0.050000
4158	0.050000
4157	0.050000
4156	0.050000
4155	0.050000
4154	0.050000
4153	0.050000
4152	0.050000
4151	0.050000
4150	0.050000
4149	0.050000
4148	0.050000
4147	0.050000
4146	0.050000
4145	0.050000
4144	0.050000
4143	0.050000
4142	0.050000
4141	0.050000
4140	0.050000
4139	0.050000
4138	0.050000
4137	0.050000
4136	0.050000
4135	0.050000
4134	0.050000
4133	0.050000
4132	0.050000
4131	0.050000
4130	0.050000
4129	0.050000
4128	0.050000
4127	0.050000
4126	0.050000
4125	0.050000
4124	0.050000
4123	0.050000
4122	0.050000
4121	0.050000
4120	0.050000
4119	0.050000
4118	0.050000
4117	0.050000
4116	0.050000
4115	0.050000
4114	0.050000
4113	0.050000
4112	0.050000
4111	0.050000
4110	0.050000
4109	0.050000
4108	0.050000
4107	0.050000
4106	0.050000
4105	0.050000
4104	0.050000
4103	0.050000
4102	0.050000
4101	0.050000
4100	0.050000
4099	0.050000
4098	0.050000
4097	0.050000
4096	0.050000
4095	0.050000
4094	0.050000
4093	0.050000
4092	0.050000
4091	0.050000
4090	0.050000
4089	0.050000
4088	0.050000
4087	0.050000
4086	0.050000
4085	0.050000
4084	0.050000
