cycle	bp	scenario	genetic_mode	N	K_t	climate_K_factor	human_K_factor	q_hunting	N_female	N_male	N_juvenile	N_age0	N_age1	adult_females	adult_males	breeding_females	candidate_fathers	OMU_count	AMU_males	AMU_count_proxy	AMU_males_per_OMU	dominant_males	no_breeder_years	quasi_extinct	functional_extinct	demographic_extinct	mean_age	density_factor
68	82	M3	selected	91	90.0	1.0	0.9	0.01	41	50	46	10	8	17	19	1	19	5	27	3	5.4	4	0	0	0	0	5.47253	0.937136
69	81	M3	selected	89	90.0	1.0	0.9	0.01	39	50	47	9	10	15	17	0	17	5	28	3	5.6	4	1	0	0	0	5.23596	0.958391
70	80	M3	selected	89	90.0	1.0	0.9	0.01	42	47	46	11	9	17	17	0	17	5	28	3	5.6	3	2	0	0	0	5.07865	0.944095
71	79	M3	selected	92	90.0	1.0	0.9	0.01	45	47	44	8	10	20	19	1	19	5	26	3	5.2	5	0	0	0	0	5.55435	0.960546
72	78	M3	selected	83	90.0	1.0	0.9	0.01	45	38	42	13	7	20	17	1	17	5	21	3	4.2	4	0	0	0	0	5.40964	0.87551
73	77	M3	selected	88	90.0	1.0	0.9	0.01	47	41	44	12	13	22	17	0	17	5	20	2	4.0	5	1	0	0	0	5.5	0.982889
74	76	M3	selected	94	90.0	1.0	0.9	0.01	47	47	48	14	11	24	15	1	15	6	19	2	3.16667	4	0	0	0	0	5.47872	0.93612
75	75	M3	selected	89	90.0	1.0	0.9	0.01	46	43	45	11	11	23	16	3	16	6	19	2	3.16667	4	0	0	0	0	5.70787	0.869445
76	74	M3	selected	94	90.0	1.0	0.9	0.01	49	45	51	13	11	22	16	0	16	6	18	2	3.0	5	1	0	0	0	5.53191	0.913731
77	73	M3	selected	89	90.0	1.0	0.9	0.01	50	39	48	13	10	23	13	3	13	6	19	2	3.16667	4	0	0	0	0	5.0	0.875715
78	72	M3	selected	92	90.0	1.0	0.9	0.01	49	43	50	13	12	21	14	0	14	6	23	3	3.83333	5	1	0	0	0	5.01087	0.90663
79	71	M3	selected	86	90.0	1.0	0.9	0.01	42	44	48	11	11	18	11	1	11	6	19	2	3.16667	2	0	0	0	0	4.94186	0.908025
80	70	M3	selected	92	90.0	1.0	0.9	0.01	46	46	49	17	8	24	13	2	13	6	18	2	3.0	5	0	0	0	0	4.90217	0.915562
81	69	M3	selected	93	90.0	1.0	0.9	0.01	48	45	47	9	15	25	17	2	17	6	18	2	3.0	6	0	0	0	0	5.46237	0.932328
82	68	M3	selected	88	90.0	1.0	0.9	0.01	45	43	45	18	6	25	12	3	12	7	15	2	2.14286	6	0	0	0	0	5.21591	0.822827
83	67	M3	selected	95	90.0	1.0	0.9	0.01	48	47	51	14	18	25	14	0	14	7	15	2	2.14286	6	1	0	0	0	5.28421	0.927478
84	66	M3	selected	84	90.0	1.0	0.9	0.01	41	43	50	10	10	17	14	2	14	6	13	2	2.16667	6	0	0	0	0	5.08333	0.883346
85	65	M3	selected	87	90.0	1.0	0.9	0.01	41	46	52	11	10	19	13	0	13	7	15	2	2.14286	4	1	0	0	0	4.93103	0.981802
86	64	M3	selected	87	90.0	1.0	0.9	0.01	38	49	52	11	10	18	12	0	12	7	21	3	3.0	6	2	0	0	0	5.11494	0.952351
87	63	M3	selected	86	90.0	1.0	0.9	0.01	40	46	46	10	10	18	11	1	11	7	21	3	3.0	7	0	0	0	0	4.94186	0.955017
88	62	M3	selected	91	90.0	1.0	0.9	0.01	40	51	44	11	9	20	13	1	13	7	21	3	3.0	7	0	0	0	0	5.26374	0.972031
89	61	M3	selected	89	90.0	1.0	0.9	0.01	46	43	46	13	11	22	15	0	15	7	18	2	2.57143	7	1	0	0	0	5.26966	0.898995
90	60	M3	selected	87	90.0	1.0	0.9	0.01	48	39	47	12	12	21	16	1	16	7	17	2	2.42857	6	0	0	0	0	4.98851	0.925566
91	59	M3	selected	91	90.0	1.0	0.9	0.01	47	44	46	11	8	23	16	2	16	7	18	2	2.57143	7	0	0	0	0	5.53846	0.933473
92	58	M3	selected	86	90.0	1.0	0.9	0.01	45	41	46	13	8	20	15	2	15	6	17	2	2.83333	6	0	0	0	0	5.47674	0.889921
93	57	M3	selected	91	90.0	1.0	0.9	0.01	45	46	47	13	12	22	16	1	16	5	19	2	3.8	5	0	0	0	0	5.56044	0.946728
94	56	M3	selected	91	90.0	1.0	0.9	0.01	42	49	49	15	11	21	17	1	17	5	17	2	3.4	5	0	0	0	0	5.58242	0.87762
95	55	M3	selected	89	90.0	1.0	0.9	0.01	42	47	49	11	14	20	17	1	17	4	19	2	4.75	4	0	0	0	0	5.79775	0.91171
