cycle	bp	scenario	genetic_mode	stage	N	age_0_1	age_2_4	age_5_9	age_10_14	age_15_19	age_20_28	OMU_count	dominant_males	dominant_candidate_males	backup_candidate_males	AMU_dominant_candidate_males	AMU_backup_candidate_males	vacant_OMU_count	invalid_dominant_males	duplicate_dominant_males
95	55	M2	selected	post_mortality	94	25	24	28	14	2	1	5	3	6	14	3	11	2	0	0
96	54	M2	selected	pre_breeding	94	14	27	32	18	1	2	5	5	8	17	3	12	0	0	0
96	54	M2	selected	post_mortality	99	27	26	30	15	0	1	5	5	7	14	2	9	0	0	0
97	53	M2	selected	pre_breeding	99	14	32	31	18	3	1	5	5	11	17	6	12	0	0	0
97	53	M2	selected	post_mortality	100	25	30	28	13	3	1	4	1	7	13	5	11	3	1	0
98	52	M2	selected	pre_breeding	100	14	33	33	16	3	1	4	4	7	17	3	13	0	0	0
98	52	M2	selected	post_mortality	98	29	31	23	12	2	1	4	3	6	13	3	10	1	0	0
99	51	M2	selected	pre_breeding	98	17	33	30	13	4	1	4	4	7	14	3	10	0	0	0
99	51	M2	selected	post_mortality	98	28	30	26	10	4	0	4	2	5	11	3	9	2	0	0
100	50	M2	selected	pre_breeding	98	11	37	33	12	5	0	4	4	6	12	2	8	0	0	0
100	50	M2	selected	post_mortality	93	24	31	23	12	3	0	4	3	5	9	2	6	1	0	0
101	49	M2	selected	pre_breeding	93	14	33	27	15	4	0	4	4	7	13	3	9	0	0	0
101	49	M2	selected	post_mortality	97	26	30	24	15	2	0	4	4	7	11	3	7	0	0	0
102	48	M2	selected	pre_breeding	97	14	34	31	13	5	0	4	4	7	13	3	9	0	0	0
102	48	M2	selected	post_mortality	105	28	31	29	13	4	0	4	3	6	12	3	9	1	0	0
103	47	M2	selected	pre_breeding	105	16	32	36	15	6	0	4	4	5	16	1	12	0	0	0
103	47	M2	selected	post_mortality	102	23	30	33	13	3	0	4	2	3	12	1	10	2	0	0
104	46	M2	selected	pre_breeding	102	12	31	40	13	5	1	6	6	5	15	0	9	0	0	0
104	46	M2	selected	post_mortality	94	30	24	27	9	4	0	6	4	3	10	0	6	2	0	0
105	45	M2	selected	pre_breeding	94	18	29	29	12	6	0	6	6	4	14	0	8	0	0	0
105	45	M2	selected	post_mortality	101	30	28	27	11	5	0	6	6	4	13	0	7	0	0	0
106	44	M2	selected	pre_breeding	101	13	38	32	13	5	0	6	6	6	16	1	10	0	0	0
106	44	M2	selected	post_mortality	103	24	33	28	13	5	0	6	6	6	15	1	9	0	0	0
107	43	M2	selected	pre_breeding	103	11	38	31	17	5	1	6	6	8	18	2	12	0	0	0
