cycle	bp	scenario	genetic_mode	stage	N	age_0_1	age_2_4	age_5_9	age_10_14	age_15_19	age_20_28	OMU_count	dominant_males	dominant_candidate_males	backup_candidate_males	AMU_dominant_candidate_males	AMU_backup_candidate_males	vacant_OMU_count	invalid_dominant_males	duplicate_dominant_males
79	71	M3	selected	pre_breeding	88	12	30	26	12	6	2	4	4	8	17	4	13	0	0	0
79	71	M3	selected	post_mortality	87	18	30	23	9	5	2	4	3	5	13	2	10	1	0	0
80	70	M3	selected	pre_breeding	87	11	29	26	13	5	3	5	5	7	15	2	10	0	0	0
80	70	M3	selected	post_mortality	85	22	27	22	10	4	0	5	4	5	11	1	7	1	0	0
81	69	M3	selected	pre_breeding	85	12	29	26	14	4	0	5	5	7	12	2	7	0	0	0
81	69	M3	selected	post_mortality	91	23	28	25	11	4	0	5	5	7	12	2	7	0	0	0
82	68	M3	selected	pre_breeding	91	11	28	35	12	5	0	5	5	8	17	3	12	0	0	0
82	68	M3	selected	post_mortality	90	22	24	30	10	4	0	5	4	7	14	3	10	1	0	0
83	67	M3	selected	pre_breeding	90	12	29	32	13	2	2	5	5	8	19	3	14	0	0	0
83	67	M3	selected	post_mortality	90	20	28	28	13	0	1	5	5	8	17	3	12	0	0	0
84	66	M3	selected	pre_breeding	90	8	32	34	14	1	1	5	5	8	20	3	15	0	0	0
84	66	M3	selected	post_mortality	93	25	28	27	13	0	0	5	5	8	18	3	13	0	0	0
85	65	M3	selected	pre_breeding	93	17	28	29	15	4	0	5	5	12	20	7	15	0	0	0
85	65	M3	selected	post_mortality	91	20	28	26	13	4	0	5	5	11	18	6	13	0	0	0
86	64	M3	selected	pre_breeding	91	7	32	32	13	7	0	5	5	11	20	6	15	0	0	0
86	64	M3	selected	post_mortality	88	19	27	26	10	6	0	5	4	9	17	5	13	1	0	0
87	63	M3	selected	pre_breeding	88	12	25	29	15	7	0	5	5	9	20	4	15	0	0	0
87	63	M3	selected	post_mortality	89	19	24	28	13	5	0	5	4	7	17	3	13	1	0	0
88	62	M3	selected	pre_breeding	89	10	27	33	14	5	0	5	5	7	22	2	17	0	0	0
88	62	M3	selected	post_mortality	86	21	22	30	9	4	0	5	1	3	15	2	14	4	0	0
89	61	M3	selected	pre_breeding	86	14	20	34	13	5	0	5	5	4	20	0	15	0	0	0
89	61	M3	selected	post_mortality	92	27	19	30	11	5	0	4	4	4	18	0	13	0	1	0
90	60	M3	selected	pre_breeding	92	13	26	34	12	6	1	4	4	5	19	1	15	0	0	0
90	60	M3	selected	post_mortality	93	27	22	29	9	6	0	4	3	4	16	1	13	1	0	0
91	59	M3	selected	pre_breeding	93	15	31	26	15	4	2	4	4	7	19	3	15	0	0	0
91	59	M3	selected	post_mortality	92	23	29	22	13	4	1	4	3	6	17	3	14	1	0	0
92	58	M3	selected	pre_breeding	92	9	37	23	15	6	2	4	4	10	19	6	15	0	0	0
92	58	M3	selected	post_mortality	90	19	33	18	13	6	1	4	3	8	17	5	14	1	0	0
93	57	M3	selected	pre_breeding	90	11	30	27	14	7	1	4	4	8	18	4	14	0	0	0
93	57	M3	selected	post_mortality	86	23	24	20	13	5	1	4	4	8	15	4	11	0	0	0
94	56	M3	selected	pre_breeding	86	12	27	25	15	6	1	4	4	9	17	5	13	0	0	0
94	56	M3	selected	post_mortality	92	22	27	24	14	4	1	4	4	9	16	5	12	0	0	0
95	55	M3	selected	pre_breeding	92	10	28	32	16	4	2	4	4	11	20	7	16	0	0	0
95	55	M3	selected	post_mortality	90	19	26	28	13	2	2	4	3	8	15	5	12	1	0	0
96	54	M3	selected	pre_breeding	90	12	29	29	14	4	2	4	4	10	20	6	16	0	0	0
96	54	M3	selected	post_mortality	89	20	26	26	12	3	2	4	2	8	18	6	16	2	0	0
97	53	M3	selected	pre_breeding	89	9	28	32	13	4	3	4	4	10	21	6	17	0	0	0
97	53	M3	selected	post_mortality	90	21	25	27	11	3	3	4	4	9	16	5	12	0	0	0
98	52	M3	selected	pre_breeding	90	12	23	34	14	4	3	4	4	9	19	5	15	0	0	0
98	52	M3	selected	post_mortality	92	23	20	31	12	4	2	4	4	8	17	4	13	0	0	0
99	51	M3	selected	pre_breeding	92	13	25	30	15	7	2	4	4	11	21	7	17	0	0	0
99	51	M3	selected	post_mortality	86	20	23	23	13	7	0	4	3	9	18	6	15	1	0	0
100	50	M3	selected	pre_breeding	86	11	25	25	15	10	0	4	4	9	23	5	19	0	0	0
100	50	M3	selected	post_mortality	89	23	24	23	11	8	0	4	3	7	18	4	15	1	0	0
101	49	M3	selected	pre_breeding	89	13	27	28	13	7	1	4	4	6	18	2	14	0	0	0
101	49	M3	selected	post_mortality	91	24	24	24	12	6	1	4	4	6	15	2	11	0	0	0
102	48	M3	selected	pre_breeding	91	11	28	29	15	6	2	4	4	9	20	5	16	0	0	0
102	48	M3	selected	post_mortality	92	22	25	26	14	4	1	4	3	8	17	5	14	1	0	0
103	47	M3	selected	pre_breeding	92	12	29	26	17	7	1	4	4	9	19	5	15	0	0	0
103	47	M3	selected	post_mortality	84	23	22	20	13	5	1	4	3	7	16	4	13	1	0	0
104	46	M3	selected	pre_breeding	84	13	29	22	13	5	2	4	4	6	18	2	14	0	0	0
104	46	M3	selected	post_mortality	91	25	28	20	13	4	1	4	3	5	16	2	13	1	0	0
105	45	M3	selected	pre_breeding	91	13	32	22	18	4	2	4	4	9	17	5	13	0	0	0
105	45	M3	selected	post_mortality	89	21	28	19	16	3	2	4	4	8	15	4	11	0	0	0
